	Center	Punct\cont	X	VERB	N\P	S_O	Time	KNOW	Perso?	Act				Full context
main	уж		вам	-	P	S	present		1					― Кому-то, может, и нельзя, но ужвам―то, конечно, можно. [Владимир Войнович. Москва 2042 (1986)] [омонимия не снята]
main	уж		вы	вернуть	P	S	future		1	1				― А ужвы-товсё на старые рельсы хотите вернуть? [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
main	Уж		его	аннигилировать	P	S	future		1	1				― спросил я. ― Ужеготовы, конечно, аннигилируете. ― Не аннигилируем, а утилизируем, переработаем и в виде вторичного продукта отправим на его родину. [Владимир Войнович. Москва 2042 (1986)] [омонимия не снята]
main	уж		её	-	P	O	present		1					Про Елену и говорить нечего, ужеё-тожизнь как на ладони: и добрая, и тихая, и сердобольная, всех кошек жалела, а про Флотова-то забыла? [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	уж		её	поблагодарить	P	O	past		1	1				Акт унижения власти пришлось отложить до лучших времён, поскольку Галина Леонидовна исчезла, а уж её-то стоило поблагодарить: в Андрее Николаевиче закопошилась смелая до безумия идея ― как изменить общественный строй в СССР. [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]
main	уж		её	отпускать	P	O	present		1					И самое страшное, что ужеетоу меня нет ни малейшего желания отпускать. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		её	хватать	P	O	past							Свадьба была многолюдной, хоть и бедной, но журналистской братии лишь бы водки побольше, а ужеетохватало. [Елена Белкина. От любви до ненависти (2002)] [омонимия не снята]
main	Уж		ему	сказать	P	O	past		1	1				Ужемутонельзя было сказать: «аще не будете, как дети…» . [В. М. Чернов. Перед бурей. Воспоминания (1953)] [омонимия не снята]
main	Уж		им	бояться	P	S	present		1					"Сукины дети, ― думал он. ― Ужим-то, рабочим, бояться нечего". [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	уж		им	позавидовать	P	O	future		1					[letchikleha, nick] На северном побережье средизамного моря на данный момент базируются куча отечественных компаний: Sky Express, Red Wings, Уральские авиалинии, Оренбург, I Fly, Nord Wind, так же был замечен в гостинице экипаж «нацпера» (вот кому, кому, а уж им то не позавидуешь, из разговора с ними стало ясно, что так, как планируют их, лучше застрелиться сразу… [коллективный. Форум: Млечный путь над Анталией (2011)] [омонимия не снята]
main	уж		их	ощутить	P	O	past							Однако запахи живут и в темноте ― и ужих-тоя ощутил в полной мере. [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
main	уж		Глебов	знать	N	S	past	1	1					Лёвка вовсе не был таким уж принципиальным, и на судьбу Аструга ему было начхать ― ужГлебов-тознал Шулепу до донышка! ― но, видно, тот парень как-то его задел, то ли развязностью, то ли ещё чем-то. [Юрий Трифонов. Дом на набережной (1976)] [омонимия снята]
main	Уж		меня	всречать	P	O	future		1	1				Ужменятобудут встречать воплями и дрекольем. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		мне	вспало	P	O	past		1	1				― Ужмнетовспало на ум, не прочит ли за тебя он дочку. [П. И. Мельников-Печерский. В лесах. Книга вторая (1871-1874)] [омонимия не снята]
main	уж		нашу	отменить	P	O	future			1				Через какую-нибудь тысячу лет, Танечка, а может, через пятьсот, старый гинеколог вроде меня ― ужнашу-топрофессию никакой прогресс не отменит ― будет читать старинную русскую историю двадцатого века, и там будет две страницы про Сталина и два абзаца про Хрущева. [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	Уж	«	Дневники	знать	N	O	present	1						Но эта же мысль у него и в «Дневниках» есть. Уж«Дневники» -тознаете. У нас в роте тоже так: один одно читал, другой другое. [Михаил Кураев. Записки беглого кинематографиста // «Новый Мир», 2001] [омонимия не снята]
main	уж		он	-	P	S	present							На первый взгляд кажется, что ужон-то― самое социальное существо. [Кирилл Ефремов. Размышления у книжной полки: Бегство от одиночества // «Знание -- сила», 2003] [омонимия снята]
main	уж		он	-	P	S	present							Там донника белого видимо-невидимо. А ужон-тосладкий! .. Окончание в следующем номере. [Виктор Кологрив. Медовый луг // «Мурзилка», 2002] [омонимия снята]
main	Уж		он	вынужденный	P	S	inf		1					Ужон-то, вынужденный считать каждый шиллинг, чего ради он тратился, готовился, что ему были мы? [Д. А. Гранин. Месяц вверх ногами (1966)] [омонимия снята]
main	уж	,	он	придумает	P	S	future		1	1				Короче говоря, Миша был одним из тех людей, о которых говорят: "Ну уж,он-точто-нибудь придумает". [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	уж		он	развлекается	P	S	present		1					Тоски по Марвичу давно уже нет, убеждала она себя, всё это дело прошлое и ненужное, и она ему не нужна, ужон-тонебось развлекается, как хочет… [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	Уж		он	был	P	S	past		1					Твой Абарчук? Ужон-то, кажется, был двухсотпроцентный. Людмила Николаевна задумалась, сказала: [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	Уж		он	строить из себя	P	S	inf		1					Ужонтоне будет строить из себя героя молодогвардейца ― мигом всех продаст! [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		она	уметь	P	S	past		1					Мать, наверное, что-то знала, но ужона-тоумела хранить тайны ― и свои, и чужие… [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		она	навидаться	P	S	past		1					"Самый красивый мужчина, которого мне приходилось видеть", ― сказала про него одна знакомая (а ужона-томужчин навидалась!) [И. Грекова. Перелом (1987)] [омонимия снята]
main	уж		она	не пьет	P	S	inf		1	1				Был убежден, что ужонатовообще не пьет! [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		она	-	P	S	present		1					Если бы уродина какая… с Лионой, правда, мы в друзьях, а ужонатоявно не Софи Лорен, даже отраженная в кривом зеркале. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		они	оценить	P	S	future		1	1				[Чучундрик, nick] Ужонитооценят всю прелесть этих мультфильмов. [коллективный. Форум: Унесенные призраками, Spirited Away (2005-2010)] [омонимия не снята]
main	уж		отсюда	-	-	-	-							И не вставай зря… ― Да ужотсюда-то… как поди? ― Они с руки часы снимают, не то что… оттуда. [Василий Шукшин. Печки-лавочки (1970-1972)] [омонимия снята]
main	уж		так	быть благодарным	P	A	present							― А, матушка, как же я вам благодарна; сами знаете, мышьяк дорого стоит, да ещё и не скоро достанешь его… ужтак-тоя вам благодарна, так благодарна… [Д. В. Григорович. Бобыль (1847)] [омонимия снята]
main	Уж		тот	работать	P	S	present		1	1				[Сергей Викторович, nick] Ужтоттоперсонаж точно давненько там работает. [Новая тема, которую никто пока не трогает (форум) (2008)] [омонимия не снята]
main	уж		тут	вывозить	P	S	present			1				Побольше красот природы ― ужтуттоона, матушка, вывозит! [Т. В. Солоневич. Записки советской переводчицы (1937)] [омонимия не снята]
main	Уж		тут	-	P	O	-							― с торжеством орал он. ― Ужтут―то― правда! Это же здесь, в Казахстане! [Александр Чудаков. Ложится мгла на старые ступени (1987-2000) // «Знамя», 2000] [омонимия не снята]
main	уж		это	понимать	P	O	present		1	1				Ей любовь нужна, а любви шантажом не добьёшься ― ужэто-тоона наверняка понимает. [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	Уж		этот	отмаливаться	P	S	present							― А потом поняла ― нет, не могу… Ужэтот-тогрех не отмаливается. И за неё кто-то должен молиться… [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		этот	сомневаться	P	S	past		1					А Крымов ― жёсткий, идейный коммунист, фанатик, ужэтот-тоне сомневался, а вот арестован. [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	уж		я	быть виноватым	P	S	past		1					― Я не знаю… ― забормотала она. ― Ведь никто не был виноват, ужя-тоне виновата, это доказано, и те трое, которых ты знаешь, тоже… [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	уж		я	сметь коснуться	P	S	present		1	1				― Уж кто-кто, ― ответила она, хохоча, ― а ужя-тосмею коснуться! ― и второй раз раздался сухой треск зонтика, отскочившего от головы Аркадия Аполлоновича. [М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)] [омонимия снята]
main	Уж		им	быть известоно	P	O	past	1	1					Ужимтовсе было известно про нас, ― даже то, чего никогда не было… [Светлана Аллилуева. Двадцать писем другу (1963)] [омонимия не снята]
main	Уж		я	обнимать	P	S	past		1	1				Ужятоее обнимал и целовал, и прижимался к ней! [В. Н. Гельфанд. Дневники 1944-1946 гг. (1944-1946)] [омонимия не снята]
main	Уж		им	быть известным	P	S	past	1	1					Ужимтовсе было известно про нас, ― даже то, чего никогда не было… [Светлана Аллилуева. Двадцать писем другу (1963)] [омонимия не снята]
main	уж		я	стараться	P	S	past		1					― сказал Мишка Смирнов, ― ни одна немецкая баба не ревела, когда я уезжал. А ужятостарался! Чем ты ее приворожил? [Н. Н. Никулин. Воспоминания о войне (1975)] [омонимия не снята]
main	уж		он	знать	P	S	past	1	1					Он видел пружинистую прядь, всегда выбивавшуюся из пучка и петлёй висящую ото лба к уху, видел скулу и кончик носа, сгорал стыдом и желанием и отдал бы в этот миг без колебаний лучшее, чем владел, ― свой безымянный дар, ― чтобы вернуть счастливую простоту и лёгкость, с которой ещё недавно он мог положить указательный палец в ямку под мягким пучком волос и провести от шеи вниз , по узкому позвоночнику, уложенному в ровном желобке вдоль спины, до чуть выпуклого крестца, ― Os sacrum, сакральная кость… почему, кстати, сакральная именно эта? ― и ниже, раздвинув плотно сжатые Musculus glutaeus maximus, миновав нежно-складчатый бутон Anus, проскользнуть в тайную складку Perineum, развести закрытые Labium majus, робкие Vestibulum vaginae, коснуться атласной влажной слизистой ― ужон-тознал всю эту анатомию, морфологию, гистологию, ― приласкать пальцем продолговатое зёрнышко Corpus clitoridis ― пропуск, пробел, сердцебиение… дальше, дальше, ― пройти по редколесью волос, под которым изгиб Mons pubis, перешагнуть через косметический, двойного шитья шов― не знал, что для себя старался, ― подняться к маленькому, с мелкой воронкой пупку, пройти между разбежавшихся в разные стороны, заострённых к соску грудей и остановиться у подключичной ямки так, чтобы под ладонью расходились фигурные скобочки ключиц… [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	уж		он	знать	P	S	past	1	1					Другой бы принял этот инструмент за ритуальный, масонский или за такой, как у путевых обходчиков, но ужон-то, Башуцкий, знал эти железные молотки на длинной деревянной ручке… [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]
main	Уж		она	знать 	P	S	past	1	1					Ужона-тоточно знала, что с отцом что-то не так! [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	Уж		она	знать	P	S	past	1	1					Ужона-тознала, что такое шикарный ресторан, её отец именно был директором шикарного), поговорили ещё о костре… но цены на хлеб и масло были более животрепещущим предметом беседы. [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]
main	уж		она	знать	P	S	present	1	1					Весь ее вид говорил о том, что ужонатознает, чем все это кончится. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		я	знать	P	S	present	1	1					В классе было 39 учеников, мы беседовали как минимум с 39 родителями (не все семьи были полными), ― и, проводя ежедневно с детьми по 8-9 часов в тесном общении, мы убедились в полной несостоятельности гордых заявлений некоторых родителей: "Ужя-тосвоего сына (дочь) знаю! [М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004] [омонимия снята]
main	уж		я	знать	P	S	present	1	1					Во-первых, Альфред никогда в жизни ничего для него не писал. Поверь мне, ужя-тознаю. Как ты не понимаешь, Спиваков ― это не музыкант Шнитке, не герой его романа. [Сати Спивакова. Не всё (2002)] [омонимия снята]
main	уж		я	знать	P	S	present	1	1					Ну ужя-тознаю, что чепуха. [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
main	уж		я	знать	P	S	past	1	1					После всего-всего, что я пережил, ужя-тоточно знал, что если руки человека это чудо, то уж го-ло-ва это самое расчудесное чудо из всех расчудесных чудес. [Валерий Медведев. Баранкин, будь человеком! (1957)] [омонимия снята]
other	Уж	«	Аланию	знать	N	o	present	1						Уж«Аланию» -тоОсинов знает, как облупленную,―столько матчей провел за «желто-синих» против владикавказцев! [Максим КАДАЕВ. После первого тайма матча 'Ростов' - 'Алания' один из братьев Пономаренко хотел уйти со стадиона // Комсомольская правда, 2011.05.12] [омонимия не снята]
other	Уж		вы	понимать	P	s	present	1						СКОРПИОН Ужвытопонимаете и знаете, что настоящие чувства за деньги не купишь и что "насильно мил не будешь". [Бастрич Александра. ДЕРЖИТЕ СТРАСТИ В УЗДЕ // Труд-7, 2006.11.30] [омонимия не снята]
other	Уж		всё	иметь	P	o	past							Земля, над коей бег свой солнце обращает, И море, что вокруг всю землю обымает, Вселенныя всея пространство и предел, УжвсётоРим в своем владычии имел И не был насыщен: повсюда кораблями Покрылися моря, борющися с волнами, И если златом был какой народ богат, Не мог безбеден быть и был уж сопостат. [М. Н. Муравьев. Петрония Арбитра гражданская брань (1773)] [омонимия не снята]
other	уж		вы	-	P	s	-		1					Потом приходили всякие другие настойчивые, которые уже даже не стесняются говорить, что, мол, ну позарез ваша площадь нужна Russia Today, которая даже пресс-центр МИДа выжила из правого крыла здания, а ужвыто… [Люди Шойгу хотят разогнать Союз журналистов России // Новый регион 2, 2008.02.19] [омонимия не снята]
other	уж		её	терять	P	o	inf		1	1				Дак тожо, старуха пришла, тожо, ужеё-тотерять нечего, пришла, бегала вокруг омёта с иконой кругом бегала. [Календарь и праздники (Архангельская область, 1996)] [омонимия снята]
other	Уж		им	привыкать	P	o	inf		1					Ужимтоне привыкать разделываться с таким соперником как "Сибирь". [Екатерина ОЛЬХОВСКАЯ. Московский 'Спартак' оставил 'Сибирь' в подвешенном состоянии // Комсомольская правда, 2010.10.23] [омонимия не снята]
other	Уж		их	резделять	P	o	present			1				А иногда в бессоннице по строчке, Ужихтоне разделишь на двоих, И не в тетрадке,―просто на клочочке, - Слогалися родные и свои. [klubstihi. То строгие, то грустные, то нежные. http://stihi.ru/2006/12/11-601 (2006)] [омонимия не снята]
other	уж		мне	поверить	P	o	present		1					И счастлива птица! ужмнетоповерь! В темницу теперь не стремиться! [sadmoon. Свободная птица всё грустно глядела http://stihi.ru/2005/11/09-729 (2005)] [омонимия не снята]
other	Уж		мою бумажку	отдавать	P	o	present			1				[Воронов, Алексей Грибов, муж, 48, 1902] Ничего такого особенного. Ужмоюбумажку-тотдайте / пожалуйста. [Директор завода, С. Бобров, муж, 49, 1901] Какую бумажку? [Константин Юдин и др. Смелые люди, к/ф (1950)] [омонимия не снята]
other	уж		мы	становиться	P	s	past		1					и вот и ужмы-тостали вот и побольше и уже купаться действительно. [Летние праздники (село Кужное, Мордовский район, Тамбовская область, 2002)] [омонимия снята]
other	уж		мы	жить	P	s	present		1					А коровы у нас уж выгонены, тут вот Мошу, где ужмы-тоживём-то, туды уж выгонены коровы-те. [Случай из жизни (Архангельская область, 2001)] [омонимия снята]
other	уж		он	разбираться	P	s	present		1					А ужонтов финансах разбирается хорошо. [Викторов Виктор. ДВА СТАБФОНДА. ДВА ВЕСЕЛЫХ ДРУГА? // Труд-7, 2007.04.05] [омонимия не снята]
other	уж		она	мочь	P	s	past		1					Тем более, что у его матери-то никаких следов убийства не обнаружено, а ужонатовполне могла остановить сына. [У следователей по делу Южаковых закончились версии // Комсомольская правда, 2008.07.16] [омонимия не снята]
other	уж		потом	казнить	P	-	past			1				И вот они, видно, попутали, и она, видно, ушла, но потом всё равно её догнали, нигде найти не могут, дак догнали ужпотом-товсё равно, и казнил вот это тожо, отец и казнил. [Религия. Молитва (Архангельская область, 2007)] [омонимия снята]
other	уж		так	-	P	-	-							А ведь тогда так сомневался, и даже корил себя - мол, зачем ужтак―то. [dasha89. И в будущем все http://stihi.ru/2012/03/14/9262 (2012)] [омонимия не снята]
other	Уж		там	продать	P	-	future		1	1				Или как там… Простой и молодой невинный парень, Ужтамтоты продашь душу чертям. [yazicnik. Я часто думал: где осталось моё сердце? http://stihi.ru/2009/02/16/4992 (2009)] [омонимия не снята]
other	уж		этого	отступать	P	O	present			1				Мы с одной-то стороны мы ведь и неграмотные, ничё больше-то и не знаём, но ужэтого-тоначала я не отступаю, конечно. [Религия. Молитва (Архангельская область, 2007)] [омонимия снята]
other	Уж		я	скучать	P	s	past		1					- После битвы со шведами этот матч был немного скучноват… ―Ужятоточно не скучал. [Дмитрий Пономаренко. Константин Барулин: Давно мне так сыграть хотелось! // Советский спорт, 2012.05.13] [омонимия не снята]
other	уж	«	Барса	упускать	N	s	future							И здесь уже искушенный читатель начал засыпать: уж«Барса» -тосвоего не упустит, а в концовке у «Реала», знамо дело, кого-то обязательно удалят. [Евгений Шуваев. Сказка со счастливым концом. "Барселона" завоевала Суперкубок Испании [ВИДЕО] // Советский спорт, 2011.08.18] [омонимия не снята]
other	уж		Ваня	-	N	s	-		1					Мои дети ненаказанными выросли. А ужВанятотем более! Не дай бог кому-нибудь его тронуть. [Брагина Лика. Татьяна Васильева: «У нас нет в семье патриарха, только матриарх» // Труд-7, 2009.10.22] [омонимия не снята]
other	уж		воду	глотать	N	O	present			1				и уж мы это…/ а-а-а…/ глотаем ужводу-то/ ну я маненько это… как пошустрее была/ я вообще шустрая была/ пошустрее/ сразу как это… раз! / и её руку… как ей дала/ сразу схватала// [Случай на реке (Земляные Хутора, Аткарский район, Саратовская область, 2004)] [омонимия снята]
other	уж		время	быть	N	-	past							ну и просила / что мол / больно ужвремя-ттяжёлое было / война / и… никак / мы с мамой-то плохо / у нас никакого запасу нету / ничего мы / только на картошке / на тык… на тыквы / на свёкле только жили / на этим вота / хлебного ничего не было // [Рассказ Кутюмовой об огороде (Саратовская область, Саратов, 1996)] [омонимия снята]
other	уж	…	жись	состоять	N	S	past							А вот это… это тожо я другой раз и подумаю, да, дак ведь уж жись-тосостояла ведь не только сичцас, конечно. [Религия. Загробная жизнь (Архангельская область, 2007)] [омонимия снята]
other	уж		колокола	быть	N	S	past							все / народу полно / оцепили её кругом и говорят / пусть горит лучше // было - то пять колоколов // больно ужколокола-тобыли хорошие / одно было большое / вот у нас звонят / а в другом селе слышно // а другое поменьше / а третье ещё меньше / четвёртое меньше / а пятое тоже небольшое уже // звонили очень хорошо / вот на Паску когда особенно // некоторые ребята умели звонить - то // а мы пляшем на этом / на мосту! [Как церковь сгорела (с. Белогорное, Вольский район, Саратовская область, 1996)] [омонимия снята]
other	уж		Ксешку	брать	N	O	future		1	1				ну приехали и… ну мол… моя-т мама-т и говорит / "ну что ж это / дорогая свекровушка / маменькя" / маменькя её звали / мы ужКсешку-товозьмём // [Рассказ Кутюмовой об огороде (Саратовская область, Саратов, 1996)] [омонимия снята]
other	уж		огонь	гореть	N	S	past							Андрей-то… а ужогонь-тогорел всё уж// [Смерть свекрови (Верховье, Вытегорский район, Вологодская область, 1976)] [омонимия снята]
other	уж		плотвы	-	N	S	-							Чего доброго а ужплотвы-тововсе полно тута. [О жизни (Деулино, Рязанский район, Рязанская область, 1961)] [омонимия снята]
other	уж		потом	придумать	P	-	past							А ужпотом—тоназвание, которое ему придумал производитель, или торговую марку или товарный знак. [Елена АРАКЕЛЯН. Прощай, пломбирчик! // Комсомольская правда, 2011.08.03] [омонимия не снята]
other	уж		походочка	быть	N	S	past							Я уж ходить-то любила, о, у меня ужпоходочка-тобыла / только на выходку. [Человек (Архангельская область, 1996)] [омонимия снята]
other	уж		похорона	прийти	N	s	past			1				замирилась война-та да ужпохорона-тапришла от мужика-т дак / чё уж боле // [Рассказ о жизни (Архангельская область, )] [омонимия снята]
other	уж	«	средние	-	N	s	-			-				- Татьяна Михайловна, существует точка зрения, что сегодня наше общество―это общество конформистов, которое готово принять любую власть. А уж«средние» -тов особенности… Хорошо ли это? [Инна РУДЕНКО. Татьяна Малева, экономист, член научного совета Московского центра Карнеги: Хватит делать из среднего класса дойную корову! // Комсомольская правда, 2001.02.20] [омонимия не снята]
other	уж		удовльствие	получать	N	o	past							Вчера я наконец то осмелел, И ноги взял твои я в плен, Не знаю, было ли тебе приятно, А я ужудовольствиетополучил. [kurgaev1. Вчера я наконец то осмелел http://stihi.ru/2011/09/25/7114 (2011)] [омонимия не снята]
other	Уж		они	знать	P	s	present	1						В День святого Валентина любовники больше всего рискуют «проколоться», утверждают западные детективные агентства. Ужонитознают, что говорят! В этот романтический праздник они работают в авральном режиме. [Юлия ЖУКОВСКАЯ. У частных детективов в День святого Валентина - аврал // Комсомольская правда, 2006.02.14] [омонимия не снята]
other	Уж	«	Спартак	(быть) известен	N	s	present	1						Уж«Спартак» -тоизвестен ребятами с юмором – футболки перед тренировкой никто не рвал? [Александр Боярский. Владимир Бесчастных: "Тяжело смеяться над шутками, не зная языка // Советский спорт, 2011.04.01] [омонимия не снята]
other	уж		ты	знать	P	S	present	1						Теперь ужтытознаешь, Что ты не навсегда, Но зря себя терзаешь Что можно, что нельзя. [georgenolman. Ты думаешь, что можешь http://stihi.ru/2007/05/29-1727 (2007)] [омонимия не снята]
other	уж		я	знать	P	s	present	1						Поверь мне, девочка, ужятознаю Как больно это сердцу пережить Но я сейчас спокойно наблюдаю В душе моей огонь успел остыть… Прохладно стало вдруг… пойду Не мне влюбленные глаза судить Я пережила опять свою беду За пять минут полпачки? [paula0886bkru. Я постою незаметно в сторонке http://stihi.ru/2009/09/08/3102 (2009)] [омонимия не снята]
other	Уж		я	знать	P	s	present	1						Слова, что срываются с губ Твоих, они не правдивы Ужятознаю поверь.. [koln1963. Сегодня закралась тоска http://stihi.ru/2009/04/23/1734 (2009)] [омонимия не снята]
other	уж		я	знать	P	s	present	1						Ты меня прости и я тебя прощаю, А знаеш ты лучше не найдёшь, Поверь ужятознаю! [vikusjonif. Почему мы расстались ты так и не поймёшь http://stihi.ru/2006/06/21-1472 (2006)] [омонимия не снята]
other	уж		я	знать	P	s	present	1						Я не отвечу, все на свете Лишь для тебя, ужятознаю. [dark_wolf. Ты улетела, я не ответил http://stihi.ru/2008/05/05/4525 (2008)] [омонимия не снята]
other	Уж		я	знать	P	s	present	1						И передрягам всем на зло, Любовь жива! Ужятознаю. [pupkinsasha. Иногда бывает, что ночь подарИт http://stihi.ru/2008/12/09/1739 (2008)] [омонимия не снята]
other	уж		я	знать	P	s	present	1						Надев бессмысленные банты Себя за даром предлагаю Да видно не в цене таланты Не в этом суть, ужятознаю. [maljavka. Глядите, люди, что творится http://stihi.ru/2003/05/06-135 (2003)] [омонимия не снята]
other	уж		я	знать	P	s	present	1						Поверьте мне – ужятоэто точно знаю. [Беседу вели Софья БОБОРЕНКО, Ольга ЧУПОВА, Игорь ТЕТЕРИН, «КП» - Северная Европа». «Дима не чувствует себя небожителем, зато помнит и дорожит старыми друзьями» // Комсомольская правда, 2008.06.27] [омонимия не снята]
ru1010	... уж вам то	не знать! Жалкое и убогое зрелище	вам	знать	p	S	inf	1						
ru1010	– уж Вам то	не знать))). Я нигде вроде не писал, что	Вам	знать	p	S	inf	1						
ru1010	А уж все то	карантины они знать наверно не могут да	все	знать	p	-	present	1						
ru1010	(уж вы то	знаете его идеалы) да, пошлите его идеалы	вы	знать	p	s	present	1						
ru1010	– уж вы то	знаете наверняка какие у вас настройки	вы	знать	p	s	present	1						
ru1010	А уж Вы то	знаете что к чему, подкованы. Только отчего	Вы	знать	p	s	present	1						
ru1010	— уж Вы то	знаете. Своих детей в мышеловку повезёте	вы	знать	p	s	present	1						
